Application_ID,Application_Date,Student_ID,Company,Skill,Education,Gender,Region,Experience_Years,Application_Status,Processing_Days,Company_Size
APP1039,2025-01-24 02:12:13.222,Student_049,NextGen,Python,BSC,Female,North,4.0,Applied,4.0,Mid-Size
APP1040,2025-01-24 16:47:16.728,Student_475,InnoSoft,"Python, SQL",BSC,Female,West,1.0,Shortlisted,6.0,Mid-Size
APP1041,2025-01-25 07:22:20.234,Student_059,CloudCore,"SQL, Excel",MCA,Female,East,3.0,Shortlisted,13.0,Startup
APP1042,2025-01-25 21:57:23.740,Student_170,DataSphere,Excel,BCA,Male,East,1.0,Shortlisted,15.0,Mid-Size
APP1043,2025-01-26 12:32:27.245,Student_476,CloudCore,"Python, Power BI",BTECH,Female,North,6.0,Rejected,10.0,Startup
APP1044,2025-01-27 03:07:30.751,Student_188,MarketMind,Tableau,MSC,Male,Central,2.0,Rejected,10.0,Mid-Size
APP1045,2025-01-27 17:42:34.257,Student_464,MarketMind,"Excel, Tableau",BTECH,Male,South,5.0,Shortlisted,14.0,Startup
APP1046,2025-01-28 08:17:37.763,Student_271,FinEdge,Tableau,BTECH,Female,Central,4.0,Shortlisted,4.0,Mid-Size
APP1047,2025-01-28 22:52:41.269,Student_190,MarketMind,"Python, Power BI",BCA,Male,Central,2.0,Interview,15.0,Startup
APP1048,2025-01-29 13:27:44.775,Student_446,TechNova,"Python, SQL, Power BI",BCA,Female,North,0.0,Interview,14.0,Mid-Size
APP1049,2025-01-30 04:02:48.280,Student_175,InsightLabs,Power BI,BCA,Male,North,4.0,Shortlisted,9.0,Enterprise
APP1050,2025-01-30 18:37:51.786,Student_446,InnoSoft,"Excel, Tableau",BSC,Female,North,2.0,Selected,5.0,Mid-Size
APP1051,2025-01-31 09:12:55.292,Student_051,CloudCore,Tableau,MCA,Female,West,3.0,Selected,8.0,Startup
APP1052,2025-01-31 23:47:58.798,Student_364,InsightLabs,"Python, SQL, Power BI",BSC,Female,Central,4.0,Shortlisted,9.0,Enterprise
APP1053,2025-02-01 14:23:02.304,Student_055,ByteWorks,"Excel, Tableau",MCA,Female,East,4.0,Shortlisted,10.0,Mid-Size
APP1054,2025-02-02 04:58:05.810,Student_244,DataSphere,"Python, Power BI",MCA,Female,South,1.0,Rejected,5.0,Enterprise
APP1055,2025-02-02 19:33:09.316,Student_320,TechNova,Power BI,BTECH,Male,West,3.0,Selected,6.0,Mid-Size
APP1056,2025-02-03 10:08:12.821,Student_131,CloudCore,"Excel, Tableau",BTECH,Male,East,0.0,Interview,1.0,Enterprise
APP1057,2025-02-04 00:43:16.327,Student_485,InsightLabs,"Python, SQL, Power BI",MCA,Male,Central,5.0,Applied,11.0,Startup
APP1058,2025-02-04 15:18:19.833,Student_307,DataSphere,"Python, SQL",MCA,Female,North,6.0,Shortlisted,12.0,Mid-Size
APP1059,2025-02-05 05:53:23.339,Student_135,FinEdge,SQL,BSC,Male,Central,2.0,Rejected,15.0,Mid-Size
APP1060,2025-02-05 20:28:26.845,Student_021,TechNova,"SQL, Excel",BSC,Female,South,1.0,Rejected,7.0,Startup
APP1061,2025-02-06 11:03:30.351,Student_329,TechNova,SQL,BTECH,Male,West,2.0,Shortlisted,4.0,Enterprise
APP1062,2025-02-07 01:38:33.856,Student_167,FinEdge,SQL,BCA,Male,West,0.0,Interview,11.0,Startup
APP1063,2025-02-07 16:13:37.362,Student_274,InnoSoft,Python,MCA,Female,South,0.0,Rejected,2.0,Startup
APP1064,2025-02-08 06:48:40.868,Student_388,FinEdge,Excel,BSC,Male,East,4.0,Interview,5.0,Enterprise
APP1065,2025-02-08 21:23:44.374,Student_089,TechNova,"Python, SQL",BTECH,Male,East,6.0,Interview,8.0,Startup
APP1066,2025-02-09 11:58:47.880,Student_316,InnoSoft,"Python, Power BI",BSC,Male,West,0.0,Interview,3.0,Mid-Size
APP1067,2025-02-10 02:33:51.386,Student_014,InsightLabs,"Excel, Tableau",MCA,Female,West,2.0,Shortlisted,6.0,Mid-Size
APP1068,2025-02-10 17:08:54.891,Student_242,MarketMind,"SQL, Excel",MCA,Female,North,3.0,Rejected,8.0,Mid-Size
APP1069,2025-02-11 07:43:58.397,Student_265,DataSphere,Power BI,MSC,Male,East,3.0,Applied,7.0,Startup
APP1070,2025-02-11 22:19:01.903,Student_346,FinEdge,"Python, SQL",BCA,Male,South,4.0,Rejected,3.0,Mid-Size
APP1071,2025-02-12 12:54:05.409,Student_053,DataSphere,Tableau,MSC,Male,East,5.0,Applied,8.0,Mid-Size
APP1072,2025-02-13 03:29:08.915,Student_386,FinEdge,"Python, Power BI",BTECH,Female,North,2.0,Rejected,2.0,Mid-Size
APP1073,2025-02-13 18:04:12.421,Student_340,ByteWorks,Python,BSC,Female,West,2.0,Shortlisted,10.0,Mid-Size
APP1074,2025-02-14 08:39:15.927,Student_092,TechNova,Python,BTECH,Male,West,0.0,Applied,9.0,Mid-Size
APP1075,2025-02-14 23:14:19.432,Student_367,MarketMind,"Python, SQL",MCA,Male,North,6.0,Applied,4.0,Mid-Size
APP1076,2025-02-15 13:49:22.938,Student_444,InsightLabs,"Python, SQL, Power BI",MSC,Male,South,2.0,Applied,1.0,Startup
APP1077,2025-02-16 04:24:26.444,Student_455,MarketMind,SQL,MSC,Female,West,1.0,Interview,8.0,Mid-Size
APP1078,2025-02-16 18:59:29.950,Student_428,MarketMind,Tableau,MSC,Female,Central,5.0,Interview,7.0,Mid-Size
APP1079,2025-02-17 09:34:33.456,Student_264,MarketMind,Python,BTECH,Male,West,0.0,Rejected,11.0,Enterprise
APP1080,2025-02-18 00:09:36.962,Student_431,DataSphere,"SQL, Excel",MCA,Male,Central,1.0,Applied,13.0,Startup
APP1081,2025-02-18 14:44:40.467,Student_035,FinEdge,Python,BSC,Male,North,4.0,Applied,5.0,Startup
APP1082,2025-02-19 05:19:43.973,Student_206,CodeCraft,Power BI,BSC,Female,North,3.0,Applied,10.0,Startup
APP1083,2025-02-19 19:54:47.479,Student_081,ByteWorks,"Excel, Tableau",BTECH,Male,West,4.0,Applied,13.0,Startup
APP1084,2025-02-20 10:29:50.985,Student_420,CloudCore,Python,MSC,Female,East,3.0,Selected,5.0,Mid-Size
APP1085,2025-02-21 01:04:54.491,Student_050,MarketMind,Power BI,BCA,Female,Central,4.0,Shortlisted,7.0,Mid-Size
APP1086,2025-02-21 15:39:57.997,Student_360,InnoSoft,"Python, SQL",BTECH,Male,South,2.0,Shortlisted,5.0,Enterprise
APP1087,2025-02-22 06:15:01.503,Student_388,DataSphere,"Python, SQL",BTECH,Male,West,1.0,Applied,8.0,Enterprise
APP1088,2025-02-22 20:50:05.008,Student_002,InsightLabs,"Python, Power BI",MCA,Male,South,3.0,Shortlisted,11.0,Startup
APP1089,2025-02-23 11:25:08.514,Student_390,CloudCore,Python,BSC,Female,West,0.0,Rejected,13.0,Enterprise
APP1090,2025-02-24 02:00:12.020,Student_054,CodeCraft,"SQL, Excel",BTECH,Female,East,1.0,Rejected,6.0,Enterprise
APP1091,2025-02-24 16:35:15.526,Student_106,InnoSoft,Python,BTECH,Female,East,0.0,Shortlisted,13.0,Startup
APP1092,2025-02-25 07:10:19.032,Student_260,CodeCraft,"SQL, Excel",MSC,Male,East,1.0,Applied,5.0,Startup
APP1093,2025-02-25 21:45:22.538,Student_310,CloudCore,Excel,MSC,Male,East,1.0,Shortlisted,9.0,Enterprise
APP1094,2025-02-26 12:20:26.043,Student_477,MarketMind,"Python, Power BI",BCA,Female,North,4.0,Shortlisted,11.0,Mid-Size
APP1095,2025-02-27 02:55:29.549,Student_191,InnoSoft,Excel,MCA,Female,North,3.0,Shortlisted,2.0,Enterprise
APP1096,2025-02-27 17:30:33.055,Student_402,CodeCraft,Python,BCA,Male,Central,3.0,Selected,1.0,Enterprise
APP1097,2025-02-28 08:05:36.561,Student_218,InsightLabs,"Python, Power BI",MSC,Female,South,6.0,Rejected,8.0,Mid-Size
APP1098,2025-02-28 22:40:40.067,Student_044,FinEdge,Excel,BSC,Female,West,1.0,Rejected,12.0,Mid-Size
APP1099,2025-03-01 13:15:43.573,Student_162,TechNova,SQL,MSC,Female,West,2.0,Shortlisted,3.0,Startup
APP1100,2025-03-02 03:50:47.078,Student_202,FinEdge,Python,MCA,Female,North,2.0,Shortlisted,14.0,Startup
APP1101,2025-03-02 18:25:50.584,Student_446,CloudCore,Excel,MSC,Female,West,0.0,Rejected,11.0,Enterprise
APP1102,2025-03-03 09:00:54.090,Student_484,DataSphere,SQL,MCA,Female,North,0.0,Rejected,12.0,Mid-Size
APP1103,2025-03-03 23:35:57.596,Student_270,TechNova,SQL,MCA,Male,Central,4.0,Interview,12.0,Startup
APP1104,2025-03-04 14:11:01.102,Student_351,ByteWorks,"Python, SQL",MCA,Male,South,1.0,Applied,12.0,Enterprise
APP1105,2025-03-05 04:46:04.608,Student_304,InsightLabs,Python,MCA,Female,Central,0.0,Rejected,7.0,Mid-Size
APP1106,2025-03-05 19:21:08.114,Student_271,ByteWorks,SQL,MCA,Male,East,0.0,Shortlisted,10.0,Enterprise
APP1107,2025-03-06 09:56:11.619,Student_456,InnoSoft,"Python, SQL",BSC,Male,East,5.0,Interview,13.0,Startup
APP1108,2025-03-07 00:31:15.125,Student_462,TechNova,Excel,BCA,Male,East,1.0,Rejected,11.0,Startup
APP1109,2025-03-07 15:06:18.631,Student_215,ByteWorks,Power BI,BTECH,Male,Central,4.0,Rejected,8.0,Mid-Size
APP1110,2025-03-08 05:41:22.137,Student_252,ByteWorks,Python,BCA,Female,West,0.0,Applied,15.0,Enterprise
APP1111,2025-03-08 20:16:25.643,Student_190,CodeCraft,"Python, Power BI",MCA,Female,South,4.0,Rejected,13.0,Mid-Size
APP1112,2025-03-09 10:51:29.149,Student_296,FinEdge,"SQL, Excel",BSC,Male,East,3.0,Applied,13.0,Startup
APP1113,2025-03-10 01:26:32.654,Student_213,CodeCraft,"SQL, Excel",MSC,Male,East,4.0,Shortlisted,6.0,Startup
APP1114,2025-03-10 16:01:36.160,Student_208,TechNova,Excel,BSC,Male,East,2.0,Applied,12.0,Enterprise
APP1115,2025-03-11 06:36:39.666,Student_237,TechNova,"Python, SQL, Power BI",MCA,Female,South,2.0,Rejected,10.0,Enterprise
APP1116,2025-03-11 21:11:43.172,Student_338,CloudCore,"Python, SQL, Power BI",BSC,Female,East,4.0,Shortlisted,14.0,Enterprise
APP1117,2025-03-12 11:46:46.678,Student_367,CodeCraft,Excel,BSC,Male,South,2.0,Shortlisted,9.0,Mid-Size
APP1118,2025-03-13 02:21:50.184,Student_053,NextGen,SQL,MCA,Female,East,3.0,Selected,7.0,Enterprise
APP1119,2025-03-13 16:56:53.689,Student_280,FinEdge,Python,BSC,Female,Central,1.0,Shortlisted,15.0,Enterprise
APP1120,2025-03-14 07:31:57.195,Student_410,TechNova,"SQL, Excel",BTECH,Female,Central,2.0,Rejected,10.0,Startup
APP1121,2025-03-14 22:07:00.701,Student_217,CloudCore,"SQL, Excel",BTECH,Female,South,2.0,Shortlisted,5.0,Startup
APP1122,2025-03-15 12:42:04.207,Student_252,CodeCraft,SQL,BSC,Male,Central,4.0,Applied,8.0,Enterprise
APP1123,2025-03-16 03:17:07.713,Student_188,FinEdge,"SQL, Excel",MSC,Female,South,3.0,Interview,15.0,Enterprise
APP1124,2025-03-16 17:52:11.219,Student_380,CodeCraft,"Python, Power BI",MCA,Male,Central,6.0,Applied,8.0,Startup
APP1125,2025-03-17 08:27:14.725,Student_493,ByteWorks,Python,BTECH,Female,Central,6.0,Shortlisted,7.0,Enterprise
APP1126,2025-03-17 23:02:18.230,Student_041,CloudCore,"Excel, Tableau",MSC,Female,South,6.0,Rejected,15.0,Mid-Size
APP1127,2025-03-18 13:37:21.736,Student_157,FinEdge,"SQL, Excel",BSC,Female,West,6.0,Rejected,4.0,Mid-Size
APP1128,2025-03-19 04:12:25.242,Student_015,MarketMind,Excel,MSC,Female,Central,1.0,Rejected,9.0,Mid-Size
APP1129,2025-03-19 18:47:28.748,Student_301,InnoSoft,"Python, Power BI",BCA,Male,East,4.0,Shortlisted,12.0,Enterprise
APP1130,2025-03-20 09:22:32.254,Student_065,InnoSoft,"SQL, Excel",BTECH,Female,West,4.0,Applied,1.0,Startup
APP1131,2025-03-20 23:57:35.760,Student_345,FinEdge,"Python, Power BI",BSC,Other,South,5.0,Interview,7.0,Enterprise
APP1132,2025-03-21 14:32:39.265,Student_327,CodeCraft,"Python, SQL",MCA,Female,West,3.0,Rejected,6.0,Enterprise
APP1133,2025-03-22 05:07:42.771,Student_009,CloudCore,"Excel, Tableau",BSC,Male,North,6.0,Interview,8.0,Startup
APP1134,2025-03-22 19:42:46.277,Student_344,InnoSoft,Tableau,MCA,Male,North,1.0,Interview,5.0,Startup
APP1135,2025-03-23 10:17:49.783,Student_129,CloudCore,Excel,BSC,Male,Central,3.0,Interview,15.0,Startup
APP1136,2025-03-24 00:52:53.289,Student_492,InnoSoft,Excel,MSC,Female,Central,6.0,Shortlisted,1.0,Mid-Size
APP1137,2025-03-24 15:27:56.795,Student_136,ByteWorks,Python,MSC,Female,East,1.0,Shortlisted,1.0,Enterprise
APP1138,2025-03-25 06:03:00.300,Student_472,CodeCraft,"Python, Power BI",MSC,Male,West,3.0,Interview,9.0,Startup
APP1139,2025-03-25 20:38:03.806,Student_063,ByteWorks,SQL,BCA,Male,North,4.0,Shortlisted,15.0,Enterprise
APP1140,2025-03-26 11:13:07.312,Student_139,InnoSoft,Excel,MCA,Female,Central,4.0,Shortlisted,10.0,Mid-Size
APP1141,2025-03-27 01:48:10.818,Student_499,MarketMind,"Python, Power BI",MSC,Female,West,0.0,Interview,6.0,Mid-Size
APP1142,2025-03-27 16:23:14.324,Student_081,MarketMind,"Python, Power BI",BCA,Female,Central,2.0,Selected,10.0,Startup
APP1143,2025-03-28 06:58:17.830,Student_392,ByteWorks,Power BI,MCA,Female,Central,6.0,Shortlisted,5.0,Startup
APP1144,2025-03-28 21:33:21.336,Student_163,MarketMind,Power BI,BSC,Male,North,5.0,Applied,15.0,Enterprise
APP1145,2025-03-29 12:08:24.841,Student_419,InnoSoft,Tableau,BCA,Male,North,3.0,Shortlisted,1.0,Startup
APP1146,2025-03-30 02:43:28.347,Student_289,FinEdge,"Python, SQL",BTECH,Female,Central,5.0,Interview,6.0,Enterprise
APP1147,2025-03-30 17:18:31.853,Student_379,ByteWorks,Tableau,BCA,Female,South,0.0,Selected,6.0,Startup
APP1148,2025-03-31 07:53:35.359,Student_261,DataSphere,"SQL, Excel",BCA,Female,Central,2.0,Shortlisted,3.0,Enterprise
APP1149,2025-03-31 22:28:38.865,Student_490,CodeCraft,SQL,BCA,Female,Central,3.0,Applied,13.0,Enterprise
APP1150,2025-04-01 13:03:42.371,Student_231,MarketMind,"SQL, Excel",BSC,Female,East,1.0,Interview,8.0,Enterprise
APP1151,2025-04-02 03:38:45.876,Student_041,MarketMind,"Python, SQL, Power BI",BTECH,Male,East,6.0,Shortlisted,14.0,Enterprise
APP1152,2025-04-02 18:13:49.382,Student_028,TechNova,"SQL, Excel",MSC,Male,East,2.0,Rejected,15.0,Mid-Size
APP1153,2025-04-03 08:48:52.888,Student_135,NextGen,Python,MSC,Male,South,4.0,Selected,1.0,Enterprise
APP1154,2025-04-03 23:23:56.394,Student_201,ByteWorks,"SQL, Excel",BCA,Male,South,0.0,Applied,1.0,Startup
APP1155,2025-04-04 13:58:59.900,Student_328,InsightLabs,Tableau,MCA,Female,Central,2.0,Rejected,6.0,Mid-Size
APP1156,2025-04-05 04:34:03.406,Student_268,MarketMind,Excel,MCA,Other,East,6.0,Applied,10.0,Mid-Size
APP1157,2025-04-05 19:09:06.912,Student_418,CodeCraft,Excel,MSC,Male,South,2.0,Shortlisted,13.0,Enterprise
APP1158,2025-04-06 09:44:10.417,Student_033,DataSphere,Power BI,BTECH,Male,North,6.0,Interview,1.0,Mid-Size
APP1159,2025-04-07 00:19:13.923,Student_048,MarketMind,SQL,BSC,Female,Central,4.0,Shortlisted,6.0,Enterprise
APP1160,2025-04-07 14:54:17.429,Student_407,DataSphere,SQL,BTECH,Male,West,3.0,Selected,1.0,Startup
APP1161,2025-04-08 05:29:20.935,Student_062,InnoSoft,Python,BSC,Female,Central,1.0,Rejected,14.0,Enterprise
APP1162,2025-04-08 20:04:24.441,Student_216,InnoSoft,Tableau,MSC,Female,West,4.0,Shortlisted,13.0,Mid-Size
APP1163,2025-04-09 10:39:27.947,Student_293,NextGen,Power BI,BSC,Female,East,1.0,Shortlisted,6.0,Startup
APP1164,2025-04-10 01:14:31.452,Student_099,FinEdge,"Python, SQL, Power BI",MCA,Male,West,3.0,Shortlisted,3.0,Enterprise
APP1165,2025-04-10 15:49:34.958,Student_172,InsightLabs,SQL,BCA,Male,East,2.0,Shortlisted,14.0,Startup
APP1166,2025-04-11 06:24:38.464,Student_360,TechNova,Excel,BCA,Female,North,1.0,Applied,14.0,Startup
APP1167,2025-04-11 20:59:41.970,Student_214,NextGen,"SQL, Excel",MSC,Female,West,0.0,Shortlisted,15.0,Mid-Size
APP1168,2025-04-12 11:34:45.476,Student_475,CloudCore,"SQL, Excel",MCA,Male,Central,0.0,Shortlisted,8.0,Startup
APP1169,2025-04-13 02:09:48.982,Student_035,TechNova,Power BI,BTECH,Female,East,6.0,Interview,13.0,Mid-Size
APP1170,2025-04-13 16:44:52.487,Student_449,ByteWorks,Tableau,MCA,Male,Central,4.0,Rejected,15.0,Startup
APP1171,2025-04-14 07:19:55.993,Student_227,CodeCraft,Tableau,BCA,Female,South,3.0,Interview,6.0,Enterprise
APP1172,2025-04-14 21:54:59.499,Student_101,CloudCore,"Python, SQL",BCA,Male,East,6.0,Applied,13.0,Startup
APP1173,2025-04-15 12:30:03.005,Student_431,CloudCore,"Excel, Tableau",MCA,Female,West,4.0,Shortlisted,11.0,Enterprise
APP1174,2025-04-16 03:05:06.511,Student_462,NextGen,SQL,MCA,Male,East,4.0,Rejected,13.0,Enterprise
APP1175,2025-04-16 17:40:10.017,Student_131,FinEdge,Tableau,BCA,Male,Central,6.0,Shortlisted,1.0,Startup
APP1176,2025-04-17 08:15:13.523,Student_257,NextGen,Excel,BTECH,Male,North,5.0,Applied,15.0,Enterprise
APP1177,2025-04-17 22:50:17.028,Student_005,ByteWorks,Power BI,MSC,Male,East,4.0,Interview,5.0,Startup
APP1178,2025-04-18 13:25:20.534,Student_218,MarketMind,"Python, SQL, Power BI",MSC,Female,West,5.0,Interview,8.0,Startup
APP1179,2025-04-19 04:00:24.040,Student_255,MarketMind,"Python, SQL",MCA,Other,South,0.0,Rejected,3.0,Enterprise
APP1180,2025-04-19 18:35:27.546,Student_398,FinEdge,"Python, Power BI",MSC,Male,North,0.0,Applied,12.0,Enterprise
APP1181,2025-04-20 09:10:31.052,Student_359,ByteWorks,Python,BCA,Male,South,4.0,Interview,6.0,Mid-Size
APP1182,2025-04-20 23:45:34.558,Student_283,FinEdge,"Python, SQL, Power BI",BCA,Female,East,0.0,Rejected,5.0,Enterprise
APP1183,2025-04-21 14:20:38.063,Student_393,DataSphere,"Python, Power BI",MCA,Female,Central,3.0,Interview,6.0,Mid-Size
APP1184,2025-04-22 04:55:41.569,Student_207,MarketMind,"SQL, Excel",MCA,Female,Central,5.0,Interview,10.0,Enterprise
APP1185,2025-04-22 19:30:45.075,Student_015,CloudCore,Python,MCA,Male,West,5.0,Interview,1.0,Startup
APP1186,2025-04-23 10:05:48.581,Student_346,InsightLabs,SQL,BTECH,Male,Central,4.0,Rejected,7.0,Enterprise
APP1187,2025-04-24 00:40:52.087,Student_042,CodeCraft,Excel,MSC,Female,North,0.0,Applied,9.0,Startup
APP1188,2025-04-24 15:15:55.593,Student_380,ByteWorks,Python,MCA,Male,Central,1.0,Rejected,2.0,Startup
APP1189,2025-04-25 05:50:59.098,Student_461,TechNova,"Excel, Tableau",BSC,Female,West,6.0,Rejected,10.0,Startup
APP1190,2025-04-25 20:26:02.604,Student_179,FinEdge,"Python, Power BI",BSC,Male,East,6.0,Interview,15.0,Mid-Size
APP1191,2025-04-26 11:01:06.110,Student_063,CodeCraft,SQL,BCA,Female,East,5.0,Applied,5.0,Enterprise
APP1192,2025-04-27 01:36:09.616,Student_352,TechNova,"Excel, Tableau",MSC,Male,Central,4.0,Shortlisted,10.0,Startup
APP1193,2025-04-27 16:11:13.122,Student_231,CodeCraft,"SQL, Excel",MCA,Female,South,4.0,Selected,4.0,Startup
APP1194,2025-04-28 06:46:16.628,Student_241,InsightLabs,"Excel, Tableau",BSC,Male,East,3.0,Interview,6.0,Mid-Size
APP1195,2025-04-28 21:21:20.134,Student_052,TechNova,"Python, SQL",MSC,Female,Central,2.0,Selected,6.0,Enterprise
APP1196,2025-04-29 11:56:23.639,Student_096,NextGen,"Python, SQL",BCA,Male,West,2.0,Interview,11.0,Enterprise
APP1197,2025-04-30 02:31:27.145,Student_388,InnoSoft,Power BI,BTECH,Female,Central,5.0,Rejected,2.0,Mid-Size
APP1198,2025-04-30 17:06:30.651,Student_222,NextGen,"Python, SQL, Power BI",MSC,Female,East,6.0,Rejected,2.0,Mid-Size
APP1199,2025-05-01 07:41:34.157,Student_485,MarketMind,"Python, SQL, Power BI",MSC,Female,West,3.0,Selected,4.0,Enterprise
APP1200,2025-05-01 22:16:37.663,Student_407,InnoSoft,SQL,BTECH,Female,Central,3.0,Rejected,1.0,Mid-Size
APP1201,2025-05-02 12:51:41.169,Student_231,NextGen,"SQL, Excel",MSC,Female,North,3.0,Rejected,9.0,Enterprise
APP1202,2025-05-03 03:26:44.674,Student_237,InnoSoft,Tableau,BCA,Female,West,5.0,Applied,14.0,Enterprise
APP1203,2025-05-03 18:01:48.180,Student_143,InnoSoft,"Python, SQL",BCA,Male,North,2.0,Shortlisted,14.0,Startup
APP1204,2025-05-04 08:36:51.686,Student_171,CloudCore,SQL,BTECH,Female,South,6.0,Interview,13.0,Startup
APP1205,2025-05-04 23:11:55.192,Student_029,FinEdge,Tableau,MCA,Male,West,3.0,Shortlisted,7.0,Enterprise
APP1206,2025-05-05 13:46:58.698,Student_036,FinEdge,"Python, SQL, Power BI",BSC,Male,North,6.0,Shortlisted,12.0,Enterprise
APP1207,2025-05-06 04:22:02.204,Student_013,CloudCore,Power BI,MCA,Male,East,0.0,Shortlisted,7.0,Enterprise
APP1208,2025-05-06 18:57:05.710,Student_160,CodeCraft,"Excel, Tableau",MSC,Male,East,4.0,Shortlisted,15.0,Enterprise
